Приоритет,Название,Локация,Тип,Сайт,Телефон,Email,Источник,Почему подходит,Статус,Следующий шаг,Дата контакта,Комментарий
1,Апарт-отель Архитектор 4* by Provence,Сочи,Апарт-отель 4*,https://architector-hotel.ru/,"8 862 445 59 69","sales@architector-hotel.ru; reception@architector-hotel.ru",https://architector-hotel.ru/,"Апарт-отель; есть отдел продаж; много инструкций для гостей",Не contacted,Отправить короткое сообщение и предложить демо,,Персонализировать под апарт-отель
1,Апарт-отель Монтевиль,Сочи,Апарт-отель,https://www.montevillesochi.ru/contacts,"+7 (989) 215-00-20",info@montevillesochi.ru,https://www.montevillesochi.ru/contacts,"Апарт-отель; вероятны правила проживания и заявки",Не contacted,Отправить сообщение и запросить контакт управляющего,,
1,Апартаменты Маринист,Сочи,Апартаменты / апарт-отель,https://marinistapart.ru/contacts/,"8 800 600-34-90",mail@marinistapart.ru,https://marinistapart.ru/contacts/,"Апартаменты; нужен цифровой гид с инструкциями и правилами",Не contacted,Отправить email с предложением демо,,
1,Апарт-отель Лучезарный Резорт,Сочи / Лазаревское,Апарт-отель,https://xn--80ajgjgpuu0b7b.xn--p1acf/,"+7 (988) 166 14 80; +7 (900) 009 5830",info.holding.gosti@yandex.ru,https://xn--80ajgjgpuu0b7b.xn--p1acf/,"Апарт-объект; можно показать сценарий самозаселения и правил",Не contacted,Отправить WhatsApp/звонок и email,,
1,Center Plaza Sochi,Сочи,Апарт-отель,https://centerplazasochi.ru/,+7 (989) 087-91-23,,https://centerplazasochi.ru/,"На сайте есть уборка раз в 3 дня и бытовые правила; продукт ложится напрямую",Не contacted,Подготовить персональное демо по сайту,,
2,Cosmos Sochi Hotel 4*,Сочи,Отель 4*,https://sochi.cosmosgroup.ru/,"8 (862) 296-82-28",info.sochi@cosmoshotels.ru,https://sochi.cosmosgroup.ru/,"4* городской отель; рестораны и мероприятия",Не contacted,Отправить email в отдел бронирования/запросить управляющего,,
2,Cosmos Adler Hotel,Адлер,Отель,https://adler.cosmosgroup.ru/,,,https://adler.cosmosgroup.ru/,"Отель у вокзала и пляжа; много гостевых вопросов",Не contacted,Найти контакты на сайте и отправить сообщение,,
2,CITY PARK HOTEL SOCHI,Сочи,Отель,https://city-park-otel-sochi.ru/kontakty,"+7 (865) 220-55-07; +7 (963) 384-09-70",zakaz@city-park-otel-sochi.ru,https://city-park-otel-sochi.ru/kontakty,"Центральный отель; есть отдел бронирования",Не contacted,Отправить email с кейсом Zvezdny,,
2,Отель «Сочи»,Сочи,Отель,https://sochihotel.sochi-magnolia.ru/,"+7 862 555 28 82; +7 928 851 04 90",sales@sochi-magnolia.ru,https://sochihotel.sochi-magnolia.ru/,"Городской отель; есть отдел продаж",Не contacted,Отправить email в sales,,
2,BERGS 4*,Сочи,Отель 4*,https://hotelbergs.ru/contact,,,https://hotelbergs.ru/contact,"4* отель; форма обратной связи; можно предложить QR-гид",Не contacted,Найти телефон на странице/форма обратной связи,,
